Prefecture,Category,Item,Value,Date,Primary_source,Secondary_source
Toyama,Population,Female,544,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ishikawa,Population,Female,591,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukui,Population,Female,401,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamanashi,Population,Female,421,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagano,Population,Female,1064,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gifu,Population,Female,1035,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shizuoka,Population,Female,1866,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Aichi,Population,Female,3761,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Mie,Population,Female,923,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shiga,Population,Female,716,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kyoto,Population,Female,1357,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Osaka,Population,Female,4583,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hyogo,Population,Female,2879,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nara,Population,Female,712,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Wakayama,Population,Female,501,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tottori,Population,Female,295,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shimane,Population,Female,355,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okayama,Population,Female,991,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hiroshima,Population,Female,1457,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamaguchi,Population,Female,727,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokushima,Population,Female,389,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagawa,Population,Female,499,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
